
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 02/11/2015

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0823337506            02/03/2015  03/10/2015          13.53
0850668062            02/03/2015  03/10/2015           8.03
1118501327            02/03/2015  03/10/2015          34.22
1301306682            02/03/2015  03/10/2015          20.49
1765582505            02/03/2015  03/10/2015         100.55
1863767503            02/03/2015  03/10/2015          47.01
1973380007            02/03/2015  03/10/2015         204.81
2073392504            02/03/2015  03/10/2015         146.55
2123460004            02/03/2015  03/10/2015          45.08
2154604132            02/03/2015  03/10/2015         166.08
2464858170            02/03/2015  03/10/2015          21.04
3249452008            02/03/2015  03/10/2015          97.74
3341907974            02/03/2015  03/10/2015          28.35
3355630009            02/03/2015  03/10/2015          19.17
3675982502            02/03/2015  03/10/2015          36.75
4287681979            02/03/2015  03/10/2015          20.32
4626102505            02/03/2015  03/10/2015         122.57
4793367501            02/03/2015  03/10/2015          94.75
5033402503            02/03/2015  03/10/2015          20.80
5163527509            02/03/2015  03/10/2015          33.65
5316252500            02/03/2015  03/10/2015        8164.60
5321630005            02/03/2015  03/10/2015          57.73
5341575008            02/03/2015  03/10/2015           9.29
5411705006            02/03/2015  03/10/2015         674.53
5431647501            02/03/2015  03/10/2015        1867.25
5498080240            02/03/2015  03/10/2015         243.12
5593500001            02/03/2015  03/10/2015          14.22
5611957373            02/03/2015  03/10/2015           8.14
5781917504            02/03/2015  03/10/2015           6.59
6124540409            02/03/2015  03/10/2015         216.53
6137557531            02/03/2015  03/10/2015         212.00
6433295000            02/03/2015  03/10/2015          41.39
6651850288            02/03/2015  03/10/2015           8.90
6923515008            02/03/2015  03/10/2015          63.13
7005172502            02/03/2015  03/10/2015         192.38
7122056133            02/03/2015  03/10/2015           6.98
7241105886            02/03/2015  03/10/2015          29.28
7996733445            02/03/2015  03/10/2015          25.72
8702071724            02/03/2015  03/10/2015         315.50
8973730404            02/03/2015  03/10/2015         721.60
9116039182            02/03/2015  03/10/2015          35.98
9562096736            02/03/2015  03/10/2015         201.46
9598044056            02/03/2015  03/10/2015           6.78
9901598657            02/03/2015  03/10/2015           7.26
9995390003            02/03/2015  03/10/2015         102.67
1011348529            02/04/2015  03/11/2015         661.21
5246257504            02/04/2015  03/11/2015        2394.07
6533151400            02/04/2015  03/11/2015       11160.32
