
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 04/10/2013

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0823337506            04/03/2013  05/08/2013          11.92
0850668062            04/03/2013  05/08/2013           8.83
1765582505            04/03/2013  05/08/2013         143.43
1973380007            04/03/2013  05/08/2013         188.06
2073392504            04/03/2013  05/08/2013         135.30
2123460004            04/03/2013  05/08/2013          37.90
2154604132            04/03/2013  05/08/2013         215.16
3341907974            04/03/2013  05/08/2013          12.91
3355630009            04/03/2013  05/08/2013          16.58
3675982502            04/03/2013  05/08/2013          45.04
4626102505            04/03/2013  05/08/2013          97.60
4793367501            04/03/2013  05/08/2013          96.90
5033402503            04/03/2013  05/08/2013          14.39
5163527509            04/03/2013  05/08/2013          33.14
5316252500            04/03/2013  05/08/2013        8470.92
5321630005            04/03/2013  05/08/2013          85.50
5341575008            04/03/2013  05/08/2013          53.87
5431647501            04/03/2013  05/08/2013        1268.30
5498080240            04/03/2013  05/08/2013         188.46
5593500001            04/03/2013  05/08/2013          15.28
5611957373            04/03/2013  05/08/2013           7.25
6124540409            04/03/2013  05/08/2013         237.86
6137557531            04/03/2013  05/08/2013         101.08
6651850288            04/03/2013  05/08/2013          30.05
6923515008            04/03/2013  05/08/2013          60.13
7005172502            04/03/2013  05/08/2013         208.22
7122056133            04/03/2013  05/08/2013           6.04
7241105886            04/03/2013  05/08/2013          33.88
8973730404            04/03/2013  05/08/2013         512.24
9562096736            04/03/2013  05/08/2013         158.02
9598044056            04/03/2013  05/08/2013           5.86
9901598657            04/03/2013  05/08/2013           5.66
9995390003            04/03/2013  05/08/2013          77.77
1011348529            04/04/2013  05/09/2013        1207.61
1863767503            04/04/2013  05/09/2013          55.16
5246257504            04/04/2013  05/09/2013        1927.92
5411705006            04/04/2013  05/09/2013         426.27
6611367506            04/04/2013  05/09/2013         264.55
7152308461            04/04/2013  05/09/2013        2546.97
8371427504            04/04/2013  05/09/2013        1073.76
8381307506            04/04/2013  05/09/2013         391.11
9273322504            04/04/2013  05/09/2013         498.73
0215490004            04/05/2013  05/10/2013          98.81
0851910000            04/05/2013  05/10/2013        1929.59
1704970001            04/05/2013  05/10/2013         116.45
1735865006            04/05/2013  05/10/2013         213.36
2186032500            04/05/2013  05/10/2013        1455.42
3419594464            04/05/2013  05/10/2013        2948.21
3870683699            04/05/2013  05/10/2013         153.85
4676162508            04/05/2013  05/10/2013         119.23
5210403555            04/05/2013  05/10/2013         473.83
5265675008            04/05/2013  05/10/2013         246.39
5746157501            04/05/2013  05/10/2013          53.46
5837025922            04/05/2013  05/10/2013         147.50
6395925008            04/05/2013  05/10/2013         562.32
6433295000            04/05/2013  05/10/2013        -104.72
6533151400            04/05/2013  05/10/2013       11654.98
6604225000            04/05/2013  05/10/2013           5.66
8486060000            04/05/2013  05/10/2013         741.66
8555470007            04/05/2013  05/10/2013         116.16
8975650279            04/05/2013  05/10/2013           6.35
9006000005            04/05/2013  05/10/2013         192.16
9026057506            04/05/2013  05/10/2013         444.07
9423383257            04/05/2013  05/10/2013         128.44
9581789907            04/05/2013  05/10/2013          18.17
9596382508            04/05/2013  05/10/2013       15326.78
0313545006            04/08/2013  05/13/2013          90.18
0956030449            04/08/2013  05/13/2013        1886.30
1545407502            04/08/2013  05/13/2013         162.45
2865622506            04/08/2013  05/13/2013         165.54
3033837505            04/08/2013  05/13/2013         462.54
5658873640            04/08/2013  04/30/2013         546.18
6414967502            04/08/2013  05/13/2013          25.64
6626365008            04/08/2013  05/13/2013        8390.40
7146330001            04/08/2013  05/13/2013        2807.78
7352631019            04/08/2013  05/13/2013        2378.97
8703872054            04/08/2013  05/13/2013         871.27

77 VA Dominion Invoices for a Total Invoice Amount of $75811.01

77 Total Alexandria Invoices for a Total Invoice Amount of $75811.01


Organization:   Total

77 Total Invoices for a Total Invoice Amount of $75811.01

