
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 10/09/2013

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0823337506            10/01/2013  11/05/2013           6.53
0850668062            10/01/2013  11/05/2013           5.66
1765582505            10/01/2013  11/05/2013         323.85
1863767503            10/01/2013  11/05/2013          70.10
1973380007            10/01/2013  11/05/2013         167.07
2073392504            10/01/2013  11/05/2013         109.30
2123460004            10/01/2013  11/05/2013          28.98
2154604132            10/01/2013  11/05/2013         231.60
3341907974            10/01/2013  11/05/2013          13.11
3355630009            10/01/2013  11/05/2013          16.03
3675982502            10/01/2013  11/05/2013          13.99
4626102505            10/01/2013  11/05/2013        -158.65
4793367501            10/01/2013  11/05/2013          87.72
5033402503            10/01/2013  11/05/2013          19.79
5316252500            10/01/2013  11/05/2013      -23184.63
5321630005            10/01/2013  11/05/2013          67.11
5341575008            10/01/2013  11/05/2013          69.24
5411705006            10/01/2013  11/05/2013         277.33
5431647501            10/01/2013  11/05/2013        2155.61
5498080240            10/01/2013  11/05/2013         155.45
5593500001            10/01/2013  11/05/2013          14.09
5611957373            10/01/2013  11/05/2013           7.98
6124540409            10/01/2013  11/05/2013         134.66
6137557531            10/01/2013  11/05/2013          55.40
6433295000            10/01/2013  11/05/2013          32.56
6651850288            10/01/2013  11/05/2013         184.49
6923515008            10/01/2013  11/05/2013          70.01
7005172502            10/01/2013  11/05/2013         314.64
7122056133            10/01/2013  11/05/2013           5.93
7241105886            10/01/2013  11/05/2013          28.27
8973730404            10/01/2013  11/05/2013         200.39
9562096736            10/01/2013  11/05/2013         126.43
9598044056            10/01/2013  11/05/2013           5.85
9901598657            10/01/2013  11/05/2013           6.05
9995390003            10/01/2013  11/05/2013          67.39
1011348529            10/02/2013  11/06/2013          25.87
5163527509            10/02/2013  11/06/2013          30.73
5246257504            10/02/2013  11/06/2013        2903.11
5316252500            10/02/2013  11/06/2013        7390.28
6533151400            10/02/2013  11/06/2013       12618.41
6611367506            10/02/2013  11/06/2013         161.26
7152308461            10/02/2013  11/06/2013        2864.51
8371427504            10/02/2013  11/06/2013         976.55
8381307506            10/02/2013  11/06/2013         334.49
9273322504            10/02/2013  11/06/2013         741.11
9596382508            10/02/2013  11/06/2013       18226.56
0215490004            10/03/2013  11/07/2013          88.50
0851910000            10/03/2013  11/07/2013         840.42
1704970001            10/03/2013  11/07/2013         183.72
1735865006            10/03/2013  11/07/2013         289.02
2186032500            10/03/2013  11/07/2013        2000.99
3033837505            10/03/2013  11/07/2013         288.04
3419594464            10/03/2013  11/07/2013        3663.33
3870683699            10/03/2013  11/07/2013          90.63
5210403555            10/03/2013  11/07/2013         203.09
5265675008            10/03/2013  11/07/2013         184.68
5746157501            10/03/2013  11/07/2013          44.94
5837025922            10/03/2013  11/07/2013         138.74
6395925008            10/03/2013  11/07/2013         190.16
6604225000            10/03/2013  11/07/2013           5.66
8486060000            10/03/2013  11/07/2013         913.04
8555470007            10/03/2013  11/07/2013          86.76
9006000005            10/03/2013  11/07/2013         293.20
9026057506            10/03/2013  11/07/2013         503.07
9423383257            10/03/2013  11/07/2013         284.37
9581789907            10/03/2013  11/07/2013          16.70
0313545006            10/04/2013  11/08/2013         186.90
1122287962            10/04/2013  11/08/2013          28.55
1156320002            10/04/2013  11/08/2013        3413.30
1545407502            10/04/2013  11/08/2013         143.39
1856265002            10/04/2013  11/08/2013        3109.25
2865622506            10/04/2013  11/08/2013         363.61
4452642962            10/04/2013  11/08/2013       18299.08
4676162508            10/04/2013  11/08/2013         566.94
4696475005            10/04/2013  11/08/2013       23645.41
5658873640            10/04/2013  10/28/2013         284.37
6414967502            10/04/2013  11/08/2013          25.27
6626365008            10/04/2013  11/08/2013        9027.55
7146330001            10/04/2013  11/08/2013        2723.02
7352631019            10/04/2013  11/08/2013        2348.44
8955365005            10/04/2013  11/08/2013         853.87
1043295003            10/07/2013  11/12/2013           5.66
1312808247            10/07/2013  11/12/2013          38.57
2040619443            10/07/2013  11/12/2013        8621.02
2174476057            10/07/2013  11/12/2013          87.62
2225822507            10/07/2013  11/12/2013         452.06
2923347955            10/07/2013  11/12/2013         104.84
3103257501            10/07/2013  11/12/2013         275.55
3470617501            10/07/2013  11/12/2013         277.78
4802659823            10/07/2013  11/12/2013       13056.27
6070697393            10/07/2013  11/12/2013           6.71
6670610002            10/07/2013  11/12/2013          33.92
6855697501            10/07/2013  11/12/2013         359.74
7199264891            10/07/2013  11/12/2013          92.84
7236357500            10/07/2013  11/12/2013        2813.89
7320592509            10/07/2013  11/12/2013          37.81
7448178173            10/07/2013  11/12/2013          75.72
7835036513            10/07/2013  11/12/2013        1210.92
8515290008            10/07/2013  11/12/2013         435.32
8525402502            10/07/2013  11/12/2013         187.21
8703872054            10/07/2013  11/12/2013         649.01
8954752245            10/07/2013  11/12/2013         107.08
9091146192            10/07/2013  11/12/2013         181.89
9216886433            10/07/2013  11/12/2013          46.02

104 VA Dominion Invoices for a Total Invoice Amount of $132487.67

104 Total Alexandria Invoices for a Total Invoice Amount of $132487.67


Organization:   Total

104 Total Invoices for a Total Invoice Amount of $132487.67

