
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 01/15/2020

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0215490004            01/07/2020  02/11/2020         123.15
0851910000            01/07/2020  02/11/2020        2010.86
1704970001            01/07/2020  02/11/2020         189.14
1795517794            01/07/2020  02/11/2020          32.34
2186032500            01/07/2020  02/11/2020        1656.05
2752013074            01/07/2020  02/11/2020          40.90
3033837505            01/07/2020  02/11/2020         562.72
3419594464            01/07/2020  02/11/2020        3146.17
3870683699            01/07/2020  02/11/2020         125.76
4676162508            01/07/2020  02/11/2020          64.99
5265675008            01/07/2020  02/11/2020         569.17
5837025922            01/07/2020  02/11/2020           6.59
6117561719            01/07/2020  02/11/2020          46.48
6395925008            01/07/2020  02/11/2020         824.70
6604225000            01/07/2020  02/11/2020          19.15
7568833136            01/07/2020  02/11/2020          11.00
7639515233            01/07/2020  02/11/2020           7.63
7985565550            01/07/2020  02/11/2020          33.13
8486060000            01/07/2020  02/11/2020         992.88
8555470007            01/07/2020  02/11/2020          58.98
9006000005            01/07/2020  02/11/2020         165.12
9026057506            01/07/2020  02/11/2020         461.08
9423383257            01/07/2020  02/11/2020         177.72
9581789907            01/07/2020  02/11/2020          25.76
0313545006            01/08/2020  02/12/2020         134.15
0399795483            01/08/2020  02/12/2020           7.63
1156320002            01/08/2020  02/12/2020        3391.18
1545407502            01/08/2020  02/12/2020         206.20
1856265002            01/08/2020  02/12/2020        4242.71
2959751336            01/08/2020  02/12/2020          19.37
4006384632            01/08/2020  02/12/2020          37.12
4452642962            01/08/2020  02/12/2020       24111.19
4696475005            01/08/2020  02/12/2020       25853.75
6414967502            01/08/2020  02/12/2020          26.39
6626365008            01/08/2020  02/12/2020        9650.32
7146330001            01/08/2020  02/12/2020        3063.46
7352631019            01/08/2020  02/12/2020        4002.08
7743229473            01/08/2020  02/12/2020          25.47
8703872054            01/08/2020  02/12/2020         880.48
8955365005            01/08/2020  02/12/2020         801.17
0442731477            01/09/2020  02/13/2020          69.95
0662927573            01/09/2020  02/13/2020        2773.75
0979288487            01/09/2020  02/13/2020          63.86
1043295003            01/09/2020  02/13/2020           8.79
1122287962            01/09/2020  02/13/2020         409.77
1312808247            01/09/2020  02/13/2020          45.55
2040619443            01/09/2020  02/13/2020        7128.29
2174476057            01/09/2020  02/13/2020         128.18
2225822507            01/09/2020  02/13/2020         310.15
2371115839            01/09/2020  02/13/2020          65.07
2923347955            01/09/2020  02/13/2020         174.66
3092500747            01/09/2020  02/13/2020          42.93
3103257501            01/09/2020  02/13/2020         315.42
3104883701            01/09/2020  02/13/2020        5251.97
3470617501            01/09/2020  02/13/2020         261.15
4802659823            01/09/2020  02/13/2020       10830.48
6070697393            01/09/2020  02/13/2020          75.41
6318036420            01/09/2020  02/13/2020          40.90
6670610002            01/09/2020  02/13/2020         525.56
6855697501            01/09/2020  02/13/2020         244.28
7199264891            01/09/2020  02/13/2020         165.97
7236357500            01/09/2020  02/13/2020        3186.68
7320592509            01/09/2020  02/13/2020          53.20
7448178173            01/09/2020  02/13/2020         361.70
7835036513            01/09/2020  02/13/2020        1326.29
8659213329            01/09/2020  02/13/2020          40.62
8954752245            01/09/2020  02/13/2020          40.83
8965342507            01/09/2020  02/13/2020          19.14
9091146192            01/09/2020  02/13/2020         240.43
9216886433            01/09/2020  02/13/2020          41.99
9628787443            01/09/2020  02/13/2020          48.31
4032400121            01/10/2020  02/14/2020         446.39
5680981221            01/10/2020  02/14/2020          18.25
5863539630            01/10/2020  02/14/2020        2665.91
6265845005            01/10/2020  02/14/2020         970.69
6904957500            01/10/2020  02/14/2020         257.89
7800570009            01/10/2020  02/14/2020          87.01
7852141840            01/10/2020  02/14/2020        1953.12
8118282899            01/10/2020  02/14/2020           7.54
0668286057            01/11/2020  02/17/2020         183.03
0865355002            01/11/2020  02/17/2020         257.16
0886617919            01/11/2020  02/17/2020          22.63
0899594022            01/11/2020  02/17/2020          51.61
0906461793            01/11/2020  02/17/2020          17.70
0917312621            01/11/2020  02/17/2020          20.29
0925594723            01/11/2020  02/17/2020          34.02
0939811717            01/11/2020  02/17/2020          63.45
0949361505            01/11/2020  02/17/2020          21.25
0957987662            01/11/2020  02/17/2020          18.33
1338347873            01/11/2020  02/17/2020          48.89
1847312228            01/11/2020  02/17/2020         214.96
1951810769            01/11/2020  02/17/2020         182.18
2278126202            01/11/2020  02/17/2020          49.82
2342127509            01/11/2020  02/17/2020         111.30
2596065009            01/11/2020  02/17/2020         102.20
3004480236            01/11/2020  02/17/2020          27.01
4543627956            01/11/2020  02/17/2020           8.79
4914616190            01/11/2020  02/17/2020          10.99
5606496759            01/11/2020  02/17/2020           6.59
5722222501            01/11/2020  02/17/2020          12.87
5737778562            01/11/2020  02/17/2020         198.08
6372590007            01/11/2020  02/17/2020          70.14
6555515433            01/11/2020  02/17/2020          21.61
7214212743            01/11/2020  02/17/2020           9.30
7900412268            01/11/2020  02/17/2020         260.39
7976345004            01/11/2020  02/17/2020        1501.19
8395777488            01/11/2020  02/17/2020        1005.83
8781417566            01/11/2020  02/17/2020         792.44
9864369971            01/11/2020  02/17/2020          39.98
0104237722            01/13/2020  02/17/2020        2686.02
0457904522            01/13/2020  02/17/2020         257.86
0853450005            01/13/2020  02/17/2020         611.87
0875041303            01/13/2020  02/17/2020          16.42
0943037010            01/13/2020  02/17/2020          13.40
0962345666            01/13/2020  02/17/2020          14.23
1030506974            01/13/2020  02/17/2020           9.30
1513230001            01/13/2020  02/17/2020         109.95
1606240008            01/13/2020  02/17/2020        7463.64
2532394059            01/13/2020  02/17/2020         122.24
3110640004            01/13/2020  02/17/2020         467.27
4926320674            01/13/2020  02/17/2020         931.44
5413067249            01/13/2020  02/17/2020         115.47
8245865004            01/13/2020  02/17/2020        3012.89
