
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 09/12/2018

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0215490004            09/04/2018  10/09/2018         175.25
0399795483            09/04/2018  10/09/2018          21.09
0851910000            09/04/2018  10/09/2018        1244.93
1704970001            09/04/2018  10/09/2018         327.74
1795517794            09/04/2018  10/09/2018          42.70
2186032500            09/04/2018  10/09/2018        2906.94
2752013074            09/04/2018  10/09/2018          45.02
2959751336            09/04/2018  10/09/2018          18.17
3033837505            09/04/2018  10/09/2018         342.43
3419594464            09/04/2018  10/09/2018        6909.45
3870683699            09/04/2018  10/09/2018          68.44
4676162508            09/04/2018  10/09/2018        1288.47
5265675008            09/04/2018  10/09/2018         350.01
5837025922            09/04/2018  10/09/2018         108.00
6117561719            09/04/2018  10/09/2018          22.24
6395925008            09/04/2018  10/09/2018         471.28
6604225000            09/04/2018  10/09/2018          36.10
7568833136            09/04/2018  10/09/2018           9.75
7639515233            09/04/2018  10/09/2018           7.23
7967529061            09/04/2018  10/09/2018        -531.57
7985565550            09/04/2018  10/09/2018          42.23
8486060000            09/04/2018  10/09/2018        1179.71
8555470007            09/04/2018  10/09/2018         117.35
9006000005            09/04/2018  10/09/2018         426.59
9026057506            09/04/2018  10/09/2018         724.71
9423383257            09/04/2018  10/09/2018         370.50
9581789907            09/04/2018  10/09/2018          15.00
0313545006            09/05/2018  10/10/2018         137.86
1156320002            09/05/2018  10/10/2018        3512.80
1545407502            09/05/2018  10/10/2018         110.62
1856265002            09/05/2018  10/10/2018        4648.55
4006384632            09/05/2018  10/10/2018          37.75
4452642962            09/05/2018  10/10/2018       27597.15
4696475005            09/05/2018  10/10/2018       31232.70
6414967502            09/05/2018  10/10/2018          26.42
6626365008            09/05/2018  10/10/2018       11701.29
7146330001            09/05/2018  10/10/2018        3417.98
7352631019            09/05/2018  10/10/2018        2991.64
7743229473            09/05/2018  10/10/2018          24.84
8703872054            09/05/2018  10/10/2018         616.18
8955365005            09/05/2018  10/10/2018        1294.74
0442731477            09/06/2018  10/11/2018          64.55
0662927573            09/06/2018  10/11/2018        4368.60
0979288487            09/06/2018  10/11/2018          65.19
1043295003            09/06/2018  10/11/2018          20.24
1122287962            09/06/2018  10/11/2018          96.99
1312808247            09/06/2018  10/11/2018          46.28
2040619443            09/06/2018  10/11/2018        6037.06
2174476057            09/06/2018  10/11/2018          86.60
2225822507            09/06/2018  10/11/2018         358.43
2371115839            09/06/2018  10/11/2018          65.61
2923347955            09/06/2018  10/11/2018         125.44
3092500747            09/06/2018  10/11/2018          65.28
3103257501            09/06/2018  10/11/2018         417.52
3104883701            09/06/2018  10/11/2018        6100.52
3470617501            09/06/2018  10/11/2018         257.42
4802659823            09/06/2018  10/11/2018       14194.51
5680981221            09/06/2018  10/11/2018          17.19
6070697393            09/06/2018  10/11/2018          35.04
6318036420            09/06/2018  10/11/2018          43.75
6670610002            09/06/2018  10/11/2018          29.28
6855697501            09/06/2018  10/11/2018         426.63
7199264891            09/06/2018  10/11/2018          95.93
7236357500            09/06/2018  10/11/2018        3430.56
7320592509            09/06/2018  10/11/2018          54.04
7448178173            09/06/2018  10/11/2018         194.00
7835036513            09/06/2018  10/11/2018        1635.43
8118282899            09/06/2018  10/11/2018           7.42
8659213329            09/06/2018  10/11/2018          34.10
8954752245            09/06/2018  10/11/2018          71.27
8965342507            09/06/2018  10/11/2018          35.99
9091146192            09/06/2018  10/11/2018         216.65
9216886433            09/06/2018  10/11/2018          80.74
9628787443            09/06/2018  10/11/2018          39.25
0014940001            09/07/2018  10/12/2018        1744.67
2990617504            09/07/2018  10/12/2018          16.66
4032400121            09/07/2018  10/12/2018         497.96
5863539630            09/07/2018  10/12/2018        3597.64
6265845005            09/07/2018  10/12/2018        1427.76
6904957500            09/07/2018  10/12/2018         229.15
7800570009            09/07/2018  10/12/2018         671.81
7852141840            09/07/2018  10/12/2018        2844.23
0668286057            09/10/2018  10/15/2018          65.07
0865355002            09/10/2018  10/15/2018          91.42
0875041303            09/10/2018  10/15/2018          43.03
0886617919            09/10/2018  10/15/2018          52.78
0899594022            09/10/2018  10/15/2018          74.00
0906461793            09/10/2018  10/15/2018         104.96
0917312621            09/10/2018  10/15/2018          60.97
0925594723            09/10/2018  10/15/2018          59.61
0939811717            09/10/2018  10/15/2018          57.94
0949361505            09/10/2018  10/15/2018          72.73
0957987662            09/10/2018  10/15/2018          68.74
0962345666            09/10/2018  10/15/2018          75.25
1030506974            09/10/2018  10/15/2018          25.27
1338347873            09/10/2018  10/15/2018          50.49
1847312228            09/10/2018  10/15/2018          70.11
1951810769            09/10/2018  10/15/2018         126.80
2278126202            09/10/2018  10/15/2018          49.33
2342127509            09/10/2018  10/15/2018          69.58
2596065009            09/10/2018  10/15/2018         199.76
3004480236            09/10/2018  10/15/2018          22.97
4543627956            09/10/2018  10/15/2018           8.79
4914616190            09/10/2018  10/15/2018          15.62
5606496759            09/10/2018  10/15/2018           6.67
5722222501            09/10/2018  10/15/2018          48.59
5737778562            09/10/2018  10/15/2018         209.31
6372590007            09/10/2018  10/15/2018          55.61
6555515433            09/10/2018  10/15/2018          21.37
7900412268            09/10/2018  10/15/2018         947.27
7976345004            09/10/2018  10/15/2018        3597.64
8395777488            09/10/2018  10/15/2018         107.05
8781417566            09/10/2018  10/15/2018         794.65
9163056071            09/10/2018  10/15/2018           7.23
9864369971            09/10/2018  10/15/2018          34.31

115 VA Dominion Invoices for a Total Invoice Amount of $161232.59

115 Total Alexandria Invoices for a Total Invoice Amount of $161232.59


Organization:   Total

115 Total Invoices for a Total Invoice Amount of $161232.59

