
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 11/09/2011

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
5246257504            11/01/2011  12/06/2011        2708.56
6533151400            11/01/2011  12/06/2011       12171.96
6611367506            11/01/2011  12/06/2011         206.91
7152308461            11/01/2011  12/06/2011        2842.31
8371427504            11/01/2011  12/06/2011        1096.65
8381307506            11/01/2011  12/06/2011         233.05
9273322504            11/01/2011  12/06/2011         550.57
9596382508            11/01/2011  12/06/2011       16942.84
0215490004            11/02/2011  12/07/2011          93.67
0851910000            11/02/2011  12/07/2011        1004.31
1704970001            11/02/2011  12/07/2011          96.68
1735865006            11/02/2011  12/07/2011         196.54
2186032500            11/02/2011  12/07/2011        2410.50
3033837505            11/02/2011  12/07/2011         363.61
3419594464            11/02/2011  12/07/2011        3575.77
3870683699            11/02/2011  12/07/2011          82.15
4676162508            11/02/2011  12/07/2011          68.82
5210403555            11/02/2011  12/07/2011         394.40
5265675008            11/02/2011  12/07/2011         196.83
5746157501            11/02/2011  12/07/2011          37.61
5837025922            11/02/2011  12/07/2011         158.94
6395925008            11/02/2011  12/07/2011         236.07
6604225000            11/02/2011  12/07/2011           6.15
8486060000            11/02/2011  12/07/2011         716.08
8555470007            11/02/2011  12/07/2011          78.28
8975650279            11/02/2011  12/07/2011          10.41
9006000005            11/02/2011  12/07/2011        -195.08
9026057506            11/02/2011  12/07/2011         419.28
9423383257            11/02/2011  12/07/2011         158.15
9581789907            11/02/2011  12/07/2011           6.35
0313545006            11/03/2011  12/08/2011         344.28
0551576051            11/03/2011  12/08/2011         112.54
1156320002            11/03/2011  12/08/2011        3862.14
1545407502            11/03/2011  12/08/2011         144.94
1856265002            11/03/2011  12/08/2011        3412.13
2865622506            11/03/2011  12/08/2011         193.18
3856202134            11/03/2011  12/08/2011         387.17
5658873640            11/03/2011  11/30/2011         679.69
6414967502            11/03/2011  12/08/2011          25.67
6626365008            11/03/2011  12/08/2011        9260.20
6976229325            11/03/2011  12/08/2011         251.07
7146330001            11/03/2011  12/08/2011        2570.62
7352631019            11/03/2011  12/08/2011        2533.58
8703872054            11/03/2011  12/08/2011         750.71
8955365005            11/03/2011  12/08/2011         708.17
0662927573            11/04/2011  12/09/2011        2058.05
1043295003            11/04/2011  12/09/2011           5.66
1312808247            11/04/2011  12/09/2011          50.48
2040619443            11/04/2011  12/09/2011        6869.86
2174476057            11/04/2011  12/09/2011          68.60
2225822507            11/04/2011  12/09/2011         341.10
2923347955            11/04/2011  12/09/2011         137.47
3103257501            11/04/2011  12/09/2011         265.29
3470617501            11/04/2011  12/09/2011         190.80
3856202134            11/04/2011  12/09/2011         387.17
4696475005            11/04/2011  12/09/2011       25826.97
6070697393            11/04/2011  12/09/2011           8.83
6670610002            11/04/2011  12/09/2011         209.89
6855697501            11/04/2011  12/09/2011         240.86
7199264891            11/04/2011  12/09/2011         175.85
7236357500            11/04/2011  12/09/2011        3015.70
7320592509            11/04/2011  12/09/2011          44.55
7448178173            11/04/2011  12/09/2011          86.61
7835036513            11/04/2011  12/09/2011        1738.84
8515290008            11/04/2011  12/09/2011         560.15
8525402502            11/04/2011  12/09/2011         216.73
8954752245            11/04/2011  12/09/2011         143.40
8965342507            11/04/2011  12/09/2011         118.47
9091146192            11/04/2011  12/09/2011         208.02
9216886433            11/04/2011  12/09/2011          45.85
0014940001            11/07/2011  12/12/2011         728.24
1011348529            11/07/2011  12/12/2011        -579.25
2990617504            11/07/2011  12/12/2011          53.17
4032400121            11/07/2011  12/12/2011         648.85
4802659823            11/07/2011  12/12/2011       12844.57
5863539630            11/07/2011  12/12/2011        1432.72
6265845005            11/07/2011  12/12/2011         644.12
6904957500            11/07/2011  12/12/2011         140.23
7800570009            11/07/2011  12/12/2011         632.61
7852141840            11/07/2011  12/12/2011        2774.59
9304957500            11/07/2011  12/12/2011          88.68

81 VA Dominion Invoices for a Total Invoice Amount of $134528.19

81 Total Alexandria Invoices for a Total Invoice Amount of $134528.19

Organization:   Total

81 Total Invoices for a Total Invoice Amount of $134528.19

