
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 08/08/2018

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0823337506            08/01/2018  09/05/2018           7.73
0850668062            08/01/2018  09/05/2018           8.77
1118501327            08/01/2018  09/05/2018          34.58
1301306682            08/01/2018  09/05/2018          22.23
1625039498            08/01/2018  09/05/2018          80.71
1765582505            08/01/2018  09/05/2018         319.12
1863767503            08/01/2018  09/05/2018         119.83
1934161330            08/01/2018  09/05/2018          12.23
1973380007            08/01/2018  09/05/2018         176.74
2073392504            08/01/2018  09/05/2018          94.95
2123460004            08/01/2018  09/05/2018          33.19
2154604132            08/01/2018  09/05/2018         244.54
2291013056            08/01/2018  09/05/2018         116.62
2464858170            08/01/2018  09/05/2018          22.76
2689812424            08/01/2018  09/05/2018           9.31
2847792476            08/01/2018  09/05/2018          32.36
3249452008            08/01/2018  09/05/2018          56.40
3341907974            08/01/2018  09/05/2018          38.77
3355630009            08/01/2018  09/05/2018          16.34
3675982502            08/01/2018  09/05/2018          18.00
4287681979            08/01/2018  09/05/2018          20.28
4626102505            08/01/2018  09/05/2018         164.80
4793367501            08/01/2018  09/05/2018          89.00
5033402503            08/01/2018  09/05/2018           6.59
5316252500            08/01/2018  09/05/2018       12085.35
5321630005            08/01/2018  09/05/2018         110.37
5348784637            08/01/2018  09/05/2018          61.84
5411705006            08/01/2018  09/05/2018         356.85
5431647501            08/01/2018  09/05/2018        3487.75
5593500001            08/01/2018  09/05/2018          15.49
5611957373            08/01/2018  09/05/2018           9.31
5781917504            08/01/2018  09/05/2018           6.59
6124540409            08/01/2018  09/05/2018          76.11
6137557531            08/01/2018  09/05/2018          95.16
6167465670            08/01/2018  09/05/2018          24.94
6433295000            08/01/2018  09/05/2018          46.64
6651850288            08/01/2018  09/05/2018         157.68
6923515008            08/01/2018  09/05/2018          78.51
7005172502            08/01/2018  09/05/2018         422.84
7122056133            08/01/2018  09/05/2018           6.89
7967529061            08/01/2018  09/05/2018        -538.16
7996733445            08/01/2018  09/05/2018          28.92
8359428136            08/01/2018  09/05/2018          18.97
8702071724            08/01/2018  09/05/2018          68.24
8973730404            08/01/2018  09/05/2018         496.59
9116039182            08/01/2018  09/05/2018          38.66
9598044056            08/01/2018  09/05/2018           6.79
9901598657            08/01/2018  09/05/2018           7.42
9995390003            08/01/2018  09/05/2018         131.70
5246257504            08/02/2018  09/06/2018        2502.34
6533151400            08/02/2018  09/06/2018       13532.79
6611367506            08/02/2018  09/06/2018         157.57
7152308461            08/02/2018  09/06/2018        3174.87
8371427504            08/02/2018  09/06/2018        1380.71
8381307506            08/02/2018  09/06/2018         257.30
9273322504            08/02/2018  09/06/2018         883.96
9596382508            08/02/2018  09/06/2018       15989.84
0215490004            08/03/2018  09/07/2018         191.45
0399795483            08/03/2018  09/07/2018          23.07
0851910000            08/03/2018  09/07/2018        1299.54
1704970001            08/03/2018  09/07/2018         351.47
1795517794            08/03/2018  09/07/2018          42.28
2186032500            08/03/2018  09/07/2018        2976.85
2752013074            08/03/2018  09/07/2018          46.42
2959751336            08/03/2018  09/07/2018          18.62
3033837505            08/03/2018  09/07/2018         374.44
3419594464            08/03/2018  09/07/2018        7220.74
3870683699            08/03/2018  09/07/2018          76.20
4676162508            08/03/2018  09/07/2018        1345.74
5265675008            08/03/2018  09/07/2018         346.23
5837025922            08/03/2018  09/07/2018         111.99
6117561719            08/03/2018  09/07/2018          21.38
6395925008            08/03/2018  09/07/2018         433.24
6604225000            08/03/2018  09/07/2018          37.24
7568833136            08/03/2018  09/07/2018           9.95
7639515233            08/03/2018  09/07/2018           7.11
7985565550            08/03/2018  09/07/2018          45.18
8486060000            08/03/2018  09/07/2018        1185.62
8555470007            08/03/2018  09/07/2018         117.25
9006000005            08/03/2018  09/07/2018         425.01
9026057506            08/03/2018  09/07/2018         737.33
9423383257            08/03/2018  09/07/2018         370.05
9581789907            08/03/2018  09/07/2018          15.31
0313545006            08/06/2018  09/10/2018          98.79
1122287962            08/06/2018  09/10/2018         443.24
1156320002            08/06/2018  09/10/2018        3121.17
1545407502            08/06/2018  09/10/2018          97.95
1856265002            08/06/2018  09/10/2018        3952.04
4006384632            08/06/2018  09/10/2018          34.28
4452642962            08/06/2018  09/10/2018       23606.29
4696475005            08/06/2018  09/10/2018       27610.13
6414967502            08/06/2018  09/10/2018          26.44
6626365008            08/06/2018  09/10/2018       10172.60
7146330001            08/06/2018  09/10/2018        2963.17
7352631019            08/06/2018  09/10/2018        2644.50
7743229473            08/06/2018  09/10/2018          23.04
8703872054            08/06/2018  09/10/2018         561.89
8955365005            08/06/2018  09/10/2018        1133.35

98 VA Dominion Invoices for a Total Invoice Amount of $151245.27

98 Total Alexandria Invoices for a Total Invoice Amount of $151245.27


Organization:   Total

98 Total Invoices for a Total Invoice Amount of $151245.27

