DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-01-22 03:52:00,2015-01-22,3:52 AM,37,32,82,E,3,0,30.18,0.0,Cloudy
2015-01-22 04:49:00,2015-01-22,4:49 AM,37,32,81,S,5,0,30.18,0.0,Cloudy
2015-01-22 04:52:00,2015-01-22,4:52 AM,37,32,82,S,5,0,30.18,0.0,Cloudy
2015-01-22 05:52:00,2015-01-22,5:52 AM,37,31,79,SSW,5,0,30.18,0.0,Cloudy
2015-01-22 06:52:00,2015-01-22,6:52 AM,37,31,79,SSW,5,0,30.19,0.0,Cloudy
2015-01-22 07:52:00,2015-01-22,7:52 AM,36,31,82,S,7,0,30.21,0.0,Light Rain
2015-01-22 08:24:00,2015-01-22,8:24 AM,37,32,81,SSW,10,0,30.23,0.0,Cloudy
2015-01-22 08:52:00,2015-01-22,8:52 AM,37,32,82,SSW,7,0,30.23,0.0,Cloudy
2015-01-22 09:26:00,2015-01-22,9:26 AM,37,32,81,VAR,6,0,30.24,0.0,Fog
2015-01-22 09:52:00,2015-01-22,9:52 AM,37,32,82,SSW,8,0,30.25,0.0,Fog
2015-01-22 10:18:00,2015-01-22,10:18 AM,37,34,87,SSW,6,0,30.26,0.0,Mostly Cloudy
2015-01-22 10:52:00,2015-01-22,10:52 AM,37,32,82,SSW,9,0,30.29,0.0,Mostly Cloudy
2015-01-22 11:08:00,2015-01-22,11:08 AM,37,32,81,SSW,7,0,30.30,0.0,Mostly Cloudy
2015-01-22 11:52:00,2015-01-22,11:52 AM,45,34,65,VAR,3,0,30.29,0.0,Partly Cloudy
2015-01-22 12:52:00,2015-01-22,12:52 PM,48,31,52,NW,16,22,30.28,0.0,Partly Cloudy
2015-01-22 13:52:00,2015-01-22,1:52 PM,47,30,52,NNW,15,28,30.27,0.0,Mostly Cloudy
2015-01-22 14:52:00,2015-01-22,2:52 PM,48,26,42,NW,16,28,30.27,0.0,Mostly Cloudy
2015-01-22 15:52:00,2015-01-22,3:52 PM,48,25,41,WNW,22,26,30.28,0.0,Partly Cloudy / Windy
2015-01-22 16:52:00,2015-01-22,4:52 PM,48,25,41,NW,10,22,30.30,0.0,Partly Cloudy
2015-01-22 17:52:00,2015-01-22,5:52 PM,46,24,42,NW,10,22,30.32,0.0,Mostly Cloudy
2015-01-22 18:52:00,2015-01-22,6:52 PM,44,24,45,VAR,5,0,30.34,0.0,Mostly Cloudy
2015-01-22 19:52:00,2015-01-22,7:52 PM,43,24,47,NW,10,0,30.36,0.0,Partly Cloudy
2015-01-22 20:52:00,2015-01-22,8:52 PM,42,25,51,N,6,0,30.37,0.0,Partly Cloudy
2015-01-22 21:52:00,2015-01-22,9:52 PM,41,25,53,NNW,6,0,30.37,0.0,Cloudy
2015-01-22 22:52:00,2015-01-22,10:52 PM,39,25,57,N,6,0,30.38,0.0,Mostly Cloudy
2015-01-22 23:52:00,2015-01-22,11:52 PM,38,25,60,N,7,0,30.37,0.0,Mostly Cloudy
2015-01-22 00:52:00,2015-01-22,12:52 AM,38,26,62,NNW,8,0,30.36,0.0,Cloudy
