DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2011-02-13 00:52:00,2011-02-13,12:52 AM,33,23,66,SW,5,0,30.16,0.0,Mostly Cloudy
2011-02-13 01:52:00,2011-02-13,1:52 AM,34,21,59,SW,3,0,30.16,0.0,Mostly Cloudy
2011-02-13 02:52:00,2011-02-13,2:52 AM,33,26,75,SSW,3,0,30.16,0.0,Cloudy
2011-02-13 03:52:00,2011-02-13,3:52 AM,33,24,70,S,5,0,30.17,0.0,Cloudy
2011-02-13 04:52:00,2011-02-13,4:52 AM,33,25,72,S,7,0,30.16,0.0,Cloudy
2011-02-13 05:52:00,2011-02-13,5:52 AM,33,26,75,SSW,6,0,30.16,0.0,Cloudy
2011-02-13 06:52:00,2011-02-13,6:52 AM,34,25,70,S,6,0,30.16,0.0,Cloudy
2011-02-13 07:52:00,2011-02-13,7:52 AM,35,22,59,CALM,0,0,30.15,0.0,Cloudy
2011-02-13 08:52:00,2011-02-13,8:52 AM,35,25,67,S,8,0,30.15,0.0,Cloudy
2011-02-13 09:52:00,2011-02-13,9:52 AM,37,25,62,S,9,0,30.14,0.0,Cloudy
2011-02-13 10:52:00,2011-02-13,10:52 AM,43,23,45,SSW,14,0,30.12,0.0,Mostly Cloudy
2011-02-13 11:52:00,2011-02-13,11:52 AM,45,21,39,SSW,18,0,30.10,0.0,Mostly Cloudy
2011-02-13 12:52:00,2011-02-13,12:52 PM,49,20,32,SSW,20,29,30.07,0.0,Mostly Cloudy
2011-02-13 13:52:00,2011-02-13,1:52 PM,50,20,31,S,15,0,30.01,0.0,Mostly Cloudy
2011-02-13 14:52:00,2011-02-13,2:52 PM,52,21,30,S,17,23,29.96,0.0,Cloudy
2011-02-13 15:52:00,2011-02-13,3:52 PM,52,21,30,SSW,13,0,29.94,0.0,Cloudy
2011-02-13 16:52:00,2011-02-13,4:52 PM,53,21,29,SSW,14,0,29.92,0.0,Cloudy
2011-02-13 17:52:00,2011-02-13,5:52 PM,54,22,29,S,14,0,29.90,0.0,Mostly Cloudy
2011-02-13 18:52:00,2011-02-13,6:52 PM,52,23,32,S,13,0,29.90,0.0,Mostly Cloudy
2011-02-13 19:52:00,2011-02-13,7:52 PM,51,24,35,SSW,12,0,29.91,0.0,Mostly Cloudy
2011-02-13 20:52:00,2011-02-13,8:52 PM,51,25,36,SSW,14,0,29.91,0.0,Partly Cloudy
2011-02-13 21:52:00,2011-02-13,9:52 PM,51,25,36,S,15,0,29.90,0.0,Fair
2011-02-13 22:52:00,2011-02-13,10:52 PM,51,25,36,SSW,13,21,29.89,0.0,Fair
2011-02-13 23:52:00,2011-02-13,11:52 PM,51,24,35,SSW,15,23,29.88,0.0,Fair
