DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2012-03-29 23:52:00,2012-03-29,11:52 PM,65,53,65,W,8,0,29.67,0.0,Fair
2012-03-29 00:52:00,2012-03-29,12:52 AM,67,51,57,W,6,0,29.69,0.0,Fair
2012-03-29 01:52:00,2012-03-29,1:52 AM,70,35,28,WNW,13,23,29.68,0.0,
2012-03-29 02:52:00,2012-03-29,2:52 AM,68,33,27,W,10,20,29.68,0.0,Fair
2012-03-29 03:52:00,2012-03-29,3:52 AM,62,35,37,N,10,0,29.69,0.0,Fair
2012-03-29 04:52:00,2012-03-29,4:52 AM,60,40,47,NNW,9,0,29.71,0.0,Fair
2012-03-29 05:52:00,2012-03-29,5:52 AM,57,42,57,N,10,0,29.74,0.0,Fair
2012-03-29 06:52:00,2012-03-29,6:52 AM,58,39,49,NNW,15,23,29.78,0.0,Fair
2012-03-29 07:52:00,2012-03-29,7:52 AM,57,38,49,NW,17,24,29.80,0.0,Fair
2012-03-29 08:52:00,2012-03-29,8:52 AM,59,39,48,NNW,17,23,29.83,0.0,Mostly Cloudy
2012-03-29 09:52:00,2012-03-29,9:52 AM,58,38,47,N,18,26,29.86,0.0,Partly Cloudy
2012-03-29 10:52:00,2012-03-29,10:52 AM,59,37,44,WNW,16,22,29.88,0.0,Fair
2012-03-29 11:14:00,2012-03-29,11:14 AM,61,39,45,NNW,17,23,29.89,0.0,Partly Cloudy
2012-03-29 11:52:00,2012-03-29,11:52 AM,60,38,44,NNW,21,26,29.89,0.0,Partly Cloudy / Windy
2012-03-29 12:52:00,2012-03-29,12:52 PM,58,36,44,NNW,14,22,29.89,0.0,Partly Cloudy
2012-03-29 13:52:00,2012-03-29,1:52 PM,61,38,42,N,15,21,29.90,0.0,Partly Cloudy
2012-03-29 14:52:00,2012-03-29,2:52 PM,62,38,41,N,15,0,29.89,0.0,Fair
2012-03-29 15:52:00,2012-03-29,3:52 PM,62,36,38,NW,14,26,29.89,0.0,Partly Cloudy
2012-03-29 16:52:00,2012-03-29,4:52 PM,62,36,38,NNW,16,24,29.90,0.0,Partly Cloudy
2012-03-29 17:52:00,2012-03-29,5:52 PM,61,35,38,N,13,21,29.91,0.0,Partly Cloudy
2012-03-29 18:52:00,2012-03-29,6:52 PM,59,33,38,NNW,12,0,29.93,0.0,Fair
2012-03-29 19:52:00,2012-03-29,7:52 PM,57,0,39,NNW,13,0,29.96,0.0,Fair
2012-03-29 20:52:00,2012-03-29,8:52 PM,55,33,43,N,12,0,29.98,0.0,Fair
2012-03-29 21:52:00,2012-03-29,9:52 PM,53,0,45,N,12,0,30.01,0.0,Fair
2012-03-29 22:52:00,2012-03-29,10:52 PM,53,33,47,NNE,13,0,30.01,0.0,Fair
