DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2012-03-15 23:52:00,2012-03-15,11:52 PM,64,45,50,S,6,0,30.17,0.0,Fair
2012-03-15 00:52:00,2012-03-15,12:52 AM,60,47,62,S,5,0,30.16,0.0,Fair
2012-03-15 01:52:00,2012-03-15,1:52 AM,61,46,58,CALM,0,0,30.16,0.0,Fair
2012-03-15 02:52:00,2012-03-15,2:52 AM,60,48,64,CALM,0,0,30.17,0.0,Partly Cloudy
2012-03-15 03:52:00,2012-03-15,3:52 AM,56,49,77,S,5,0,30.15,0.0,Partly Cloudy
2012-03-15 04:52:00,2012-03-15,4:52 AM,58,46,65,CALM,0,0,30.16,0.0,Fair
2012-03-15 05:52:00,2012-03-15,5:52 AM,56,47,72,SSW,3,0,30.16,0.0,Partly Cloudy
2012-03-15 06:52:00,2012-03-15,6:52 AM,56,47,72,SSW,3,0,30.16,0.0,Partly Cloudy
2012-03-15 07:52:00,2012-03-15,7:52 AM,55,48,77,SSW,5,0,30.16,0.0,Partly Cloudy
2012-03-15 08:52:00,2012-03-15,8:52 AM,59,51,75,S,3,0,30.18,0.0,Partly Cloudy
2012-03-15 09:52:00,2012-03-15,9:52 AM,63,51,65,S,5,0,30.19,0.0,Mostly Cloudy
2012-03-15 10:52:00,2012-03-15,10:52 AM,67,51,57,S,6,0,30.19,0.0,Mostly Cloudy
2012-03-15 11:52:00,2012-03-15,11:52 AM,71,52,51,S,6,0,30.17,0.0,Cloudy
2012-03-15 12:52:00,2012-03-15,12:52 PM,75,50,41,SSE,3,0,30.16,0.0,Cloudy
2012-03-15 13:52:00,2012-03-15,1:52 PM,80,47,31,S,5,0,30.14,0.0,Cloudy
2012-03-15 14:52:00,2012-03-15,2:52 PM,80,48,32,S,9,0,30.11,0.0,Mostly Cloudy
2012-03-15 15:52:00,2012-03-15,3:52 PM,80,52,38,ESE,16,20,30.09,0.0,Mostly Cloudy
2012-03-15 16:52:00,2012-03-15,4:52 PM,78,52,40,E,10,0,30.09,0.0,Mostly Cloudy
2012-03-15 17:52:00,2012-03-15,5:52 PM,75,52,44,E,12,0,30.08,0.0,Mostly Cloudy
2012-03-15 18:52:00,2012-03-15,6:52 PM,73,53,49,E,8,0,30.09,0.0,Cloudy
2012-03-15 19:52:00,2012-03-15,7:52 PM,68,54,61,ENE,15,0,30.12,0.0,Cloudy
2012-03-15 20:52:00,2012-03-15,8:52 PM,65,53,65,E,12,0,30.12,0.0,Mostly Cloudy
2012-03-15 21:52:00,2012-03-15,9:52 PM,62,52,70,E,6,0,30.13,0.0,Fair
2012-03-15 22:52:00,2012-03-15,10:52 PM,59,50,72,ENE,8,0,30.16,0.0,Partly Cloudy
