DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-15 01:52:00,2017-12-15,1:52 AM,30,11,45,NNE,8,0,30.11,0.0,Mostly Cloudy
2017-12-15 02:52:00,2017-12-15,2:52 AM,31,11,43,ENE,9,0,30.11,0.0,Cloudy
2017-12-15 03:52:00,2017-12-15,3:52 AM,30,11,45,ENE,7,0,30.12,0.0,Cloudy
2017-12-15 04:52:00,2017-12-15,4:52 AM,30,11,45,ENE,5,0,30.11,0.0,Cloudy
2017-12-15 05:52:00,2017-12-15,5:52 AM,30,11,45,ENE,7,0,30.10,0.0,Cloudy
2017-12-15 06:22:00,2017-12-15,6:22 AM,30,12,47,E,6,0,30.10,0.0,Cloudy
2017-12-15 06:52:00,2017-12-15,6:52 AM,30,12,47,ENE,6,0,30.11,0.0,Cloudy
2017-12-15 07:52:00,2017-12-15,7:52 AM,30,14,51,E,6,0,30.10,0.0,Cloudy
2017-12-15 08:52:00,2017-12-15,8:52 AM,30,12,47,E,7,0,30.09,0.0,Cloudy
2017-12-15 09:52:00,2017-12-15,9:52 AM,30,12,47,E,6,0,30.08,0.0,Cloudy
2017-12-15 10:52:00,2017-12-15,10:52 AM,31,12,46,E,3,0,30.08,0.0,Cloudy
2017-12-15 11:52:00,2017-12-15,11:52 AM,31,13,47,E,5,0,30.04,0.0,Cloudy
2017-12-15 12:52:00,2017-12-15,12:52 PM,31,14,50,NE,6,0,29.99,0.0,Cloudy
2017-12-15 13:21:00,2017-12-15,1:21 PM,31,16,54,N,6,0,29.98,0.0,Light Snow
2017-12-15 13:52:00,2017-12-15,1:52 PM,30,18,61,N,6,0,29.96,0.0,Light Snow
2017-12-15 14:34:00,2017-12-15,2:34 PM,30,21,69,NNW,9,0,29.95,0.0,Wintry Mix
2017-12-15 14:52:00,2017-12-15,2:52 PM,29,22,75,NNW,8,0,29.94,0.0,Light Snow
2017-12-15 15:22:00,2017-12-15,3:22 PM,28,23,81,N,5,0,29.94,0.0,Light Snow
2017-12-15 15:30:00,2017-12-15,3:30 PM,28,24,85,NNE,3,0,29.94,0.0,Light Snow
2017-12-15 15:41:00,2017-12-15,3:41 PM,28,24,85,N,6,0,29.93,0.0,Light Snow
2017-12-15 15:52:00,2017-12-15,3:52 PM,28,25,88,N,3,0,29.93,0.0,Light Snow
2017-12-15 16:17:00,2017-12-15,4:17 PM,29,24,82,N,3,0,29.94,0.0,Light Snow
2017-12-15 16:28:00,2017-12-15,4:28 PM,29,25,85,N,3,0,29.94,0.0,Light Snow
2017-12-15 16:52:00,2017-12-15,4:52 PM,29,25,85,CALM,0,0,29.93,0.0,Light Snow
2017-12-15 17:02:00,2017-12-15,5:02 PM,29,25,85,CALM,0,0,29.94,0.0,Light Snow
2017-12-15 17:15:00,2017-12-15,5:15 PM,29,25,85,NNW,7,0,29.94,0.0,Light Snow
2017-12-15 17:28:00,2017-12-15,5:28 PM,29,25,85,N,7,0,29.93,0.0,Light Snow
2017-12-15 17:38:00,2017-12-15,5:38 PM,29,26,89,N,6,0,29.94,0.0,Light Snow
2017-12-15 17:42:00,2017-12-15,5:42 PM,29,26,89,VAR,6,0,29.94,0.0,Light Snow
2017-12-15 17:52:00,2017-12-15,5:52 PM,29,26,89,NNE,6,0,29.93,0.0,Cloudy
2017-12-15 18:20:00,2017-12-15,6:20 PM,30,26,85,CALM,0,0,29.94,0.0,Cloudy
2017-12-15 18:52:00,2017-12-15,6:52 PM,29,24,82,WSW,5,0,29.94,0.0,Mostly Cloudy
2017-12-15 19:52:00,2017-12-15,7:52 PM,29,24,82,W,6,0,29.97,0.0,Partly Cloudy
2017-12-15 20:52:00,2017-12-15,8:52 PM,28,24,85,SSW,5,0,29.98,0.0,Partly Cloudy
2017-12-15 21:52:00,2017-12-15,9:52 PM,28,24,85,WSW,5,0,30.00,0.0,Fair
2017-12-15 22:52:00,2017-12-15,10:52 PM,27,24,89,S,6,0,30.00,0.0,Fair
2017-12-15 23:52:00,2017-12-15,11:52 PM,26,23,88,SSW,7,0,30.01,0.0,Partly Cloudy
2017-12-15 00:52:00,2017-12-15,12:52 AM,26,23,88,S,6,0,30.02,0.0,Fair
