DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2016-06-12 00:52:00,2016-06-12,12:52 AM,78,70,76,S,9,0,29.83,0.0,Partly Cloudy
2016-06-12 01:52:00,2016-06-12,1:52 AM,81,62,52,SW,5,0,29.83,0.0,Mostly Cloudy
2016-06-12 02:52:00,2016-06-12,2:52 AM,79,62,56,S,7,0,29.82,0.0,Mostly Cloudy
2016-06-12 03:52:00,2016-06-12,3:52 AM,77,66,69,S,8,0,29.80,0.0,Mostly Cloudy
2016-06-12 04:52:00,2016-06-12,4:52 AM,76,62,62,S,9,0,29.80,0.0,Mostly Cloudy
2016-06-12 05:52:00,2016-06-12,5:52 AM,76,65,69,S,8,0,29.80,0.0,Mostly Cloudy
2016-06-12 06:26:00,2016-06-12,6:26 AM,79,63,58,SW,7,0,29.80,0.0,Mostly Cloudy
2016-06-12 06:52:00,2016-06-12,6:52 AM,78,64,62,SSW,9,0,29.80,0.0,Mostly Cloudy
2016-06-12 07:52:00,2016-06-12,7:52 AM,79,66,64,SSW,8,0,29.79,0.0,Mostly Cloudy
2016-06-12 08:52:00,2016-06-12,8:52 AM,83,67,58,S,9,0,29.78,0.0,Mostly Cloudy
2016-06-12 09:33:00,2016-06-12,9:33 AM,88,65,46,WNW,17,24,29.77,0.0,Partly Cloudy
2016-06-12 09:52:00,2016-06-12,9:52 AM,89,65,45,W,18,26,29.78,0.0,Partly Cloudy
2016-06-12 10:52:00,2016-06-12,10:52 AM,90,65,43,WNW,14,33,29.77,0.0,Partly Cloudy
2016-06-12 11:52:00,2016-06-12,11:52 AM,90,65,43,WNW,21,33,29.76,0.0,Partly Cloudy / Windy
2016-06-12 12:52:00,2016-06-12,12:52 PM,91,65,42,WNW,22,37,29.75,0.0,Partly Cloudy / Windy
2016-06-12 13:52:00,2016-06-12,1:52 PM,92,63,38,WNW,17,26,29.73,0.0,Partly Cloudy
2016-06-12 14:52:00,2016-06-12,2:52 PM,93,57,30,WNW,22,33,29.72,0.0,Fair / Windy
2016-06-12 15:52:00,2016-06-12,3:52 PM,92,52,26,WNW,21,32,29.72,0.0,Partly Cloudy / Windy
2016-06-12 16:52:00,2016-06-12,4:52 PM,91,41,17,NNW,22,30,29.73,0.0,Partly Cloudy / Windy
2016-06-12 17:52:00,2016-06-12,5:52 PM,88,41,19,NNW,18,25,29.74,0.0,Partly Cloudy
2016-06-12 18:52:00,2016-06-12,6:52 PM,86,34,16,NW,23,38,29.76,0.0,Partly Cloudy / Windy
2016-06-12 19:52:00,2016-06-12,7:52 PM,83,35,18,NNW,17,26,29.78,0.0,Partly Cloudy
2016-06-12 20:52:00,2016-06-12,8:52 PM,79,37,22,NNW,13,0,29.80,0.0,Partly Cloudy
2016-06-12 21:52:00,2016-06-12,9:52 PM,77,38,24,NNW,16,0,29.83,0.0,Mostly Cloudy
2016-06-12 22:52:00,2016-06-12,10:52 PM,76,39,26,NW,14,0,29.86,0.0,Fair
2016-06-12 23:52:00,2016-06-12,11:52 PM,73,40,30,NW,12,0,29.87,0.0,Fair
