DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-09-01 00:52:00,2017-09-01,12:52 AM,73,64,73,NNE,13,0,30.00,0.0,Cloudy
2017-09-01 01:52:00,2017-09-01,1:52 AM,72,61,68,NNE,12,0,30.01,0.0,Mostly Cloudy
2017-09-01 02:52:00,2017-09-01,2:52 AM,71,59,66,NNE,12,0,30.03,0.0,Mostly Cloudy
2017-09-01 03:52:00,2017-09-01,3:52 AM,69,57,65,NNE,13,0,30.04,0.0,Mostly Cloudy
2017-09-01 04:52:00,2017-09-01,4:52 AM,67,55,66,NNE,17,0,30.07,0.0,Cloudy
2017-09-01 05:52:00,2017-09-01,5:52 AM,66,51,59,NNE,20,0,30.09,0.0,Cloudy
2017-09-01 06:52:00,2017-09-01,6:52 AM,64,52,65,NNE,17,21,30.11,0.0,Cloudy
2017-09-01 07:52:00,2017-09-01,7:52 AM,63,51,65,NNE,18,0,30.14,0.0,Cloudy
2017-09-01 08:52:00,2017-09-01,8:52 AM,63,49,60,NNE,13,0,30.15,0.0,Cloudy
2017-09-01 09:52:00,2017-09-01,9:52 AM,64,49,58,NE,14,0,30.16,0.0,Cloudy
2017-09-01 10:52:00,2017-09-01,10:52 AM,64,50,60,ENE,7,0,30.17,0.0,Cloudy
2017-09-01 11:52:00,2017-09-01,11:52 AM,64,50,60,NE,12,0,30.18,0.0,Cloudy
2017-09-01 12:52:00,2017-09-01,12:52 PM,64,49,58,NNE,12,0,30.16,0.0,Cloudy
2017-09-01 13:52:00,2017-09-01,1:52 PM,65,48,54,N,7,0,30.17,0.0,Cloudy
2017-09-01 14:52:00,2017-09-01,2:52 PM,66,48,52,NNE,10,0,30.12,0.0,Cloudy
2017-09-01 15:52:00,2017-09-01,3:52 PM,66,48,52,NNE,6,0,30.12,0.0,Cloudy
2017-09-01 16:52:00,2017-09-01,4:52 PM,66,47,50,ENE,3,0,30.13,0.0,Cloudy
2017-09-01 17:52:00,2017-09-01,5:52 PM,67,49,52,ENE,8,0,30.12,0.0,Cloudy
2017-09-01 18:52:00,2017-09-01,6:52 PM,65,50,58,E,8,0,30.12,0.0,Mostly Cloudy
2017-09-01 19:52:00,2017-09-01,7:52 PM,64,51,63,ESE,6,0,30.16,0.0,Cloudy
2017-09-01 20:52:00,2017-09-01,8:52 PM,64,51,63,E,6,0,30.17,0.0,Cloudy
2017-09-01 21:52:00,2017-09-01,9:52 PM,64,52,65,E,6,0,30.16,0.0,Cloudy
2017-09-01 22:52:00,2017-09-01,10:52 PM,64,50,60,E,5,0,30.16,0.0,Cloudy
2017-09-01 23:52:00,2017-09-01,11:52 PM,63,51,65,ENE,7,0,30.14,0.0,Cloudy
