DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2012-01-14 00:52:00,2012-01-14,12:52 AM,30,13,49,NW,8,0,29.97,0.0,Partly Cloudy
2012-01-14 01:52:00,2012-01-14,1:52 AM,30,13,49,W,7,0,29.98,0.0,Partly Cloudy
2012-01-14 02:52:00,2012-01-14,2:52 AM,29,14,54,WNW,5,0,29.99,0.0,Mostly Cloudy
2012-01-14 03:52:00,2012-01-14,3:52 AM,28,14,56,NNW,6,0,30.00,0.0,Partly Cloudy
2012-01-14 04:52:00,2012-01-14,4:52 AM,29,13,51,WNW,6,0,30.01,0.0,Partly Cloudy
2012-01-14 05:52:00,2012-01-14,5:52 AM,29,12,49,VAR,7,0,30.02,0.0,Mostly Cloudy
2012-01-14 06:52:00,2012-01-14,6:52 AM,28,12,51,W,6,0,30.04,0.0,Partly Cloudy
2012-01-14 07:52:00,2012-01-14,7:52 AM,27,12,53,WSW,5,0,30.06,0.0,Fair
2012-01-14 08:52:00,2012-01-14,8:52 AM,28,12,51,WNW,5,0,30.07,0.0,Fair
2012-01-14 09:52:00,2012-01-14,9:52 AM,31,13,47,CALM,0,0,30.09,0.0,Fair
2012-01-14 10:52:00,2012-01-14,10:52 AM,33,13,43,WSW,8,0,30.12,0.0,Fair
2012-01-14 11:52:00,2012-01-14,11:52 AM,35,14,42,NW,10,0,30.11,0.0,Fair
2012-01-14 12:52:00,2012-01-14,12:52 PM,36,15,43,W,12,0,30.10,0.0,Fair
2012-01-14 13:52:00,2012-01-14,1:52 PM,38,15,39,WNW,13,20,30.06,0.0,Mostly Cloudy
2012-01-14 14:52:00,2012-01-14,2:52 PM,37,14,39,W,13,0,30.05,0.0,Partly Cloudy
2012-01-14 15:52:00,2012-01-14,3:52 PM,37,14,39,NW,9,0,30.06,0.0,Mostly Cloudy
2012-01-14 16:52:00,2012-01-14,4:52 PM,37,15,41,NW,10,0,30.07,0.0,Mostly Cloudy
2012-01-14 17:52:00,2012-01-14,5:52 PM,36,14,41,WNW,8,0,30.07,0.0,Mostly Cloudy
2012-01-14 18:52:00,2012-01-14,6:52 PM,34,15,46,NNW,9,0,30.09,0.0,Mostly Cloudy
2012-01-14 19:52:00,2012-01-14,7:52 PM,34,14,44,NNW,10,0,30.12,0.0,Mostly Cloudy
2012-01-14 20:52:00,2012-01-14,8:52 PM,32,13,45,NNW,10,0,30.13,0.0,Mostly Cloudy
2012-01-14 21:52:00,2012-01-14,9:52 PM,31,12,46,NW,15,20,30.14,0.0,Partly Cloudy
2012-01-14 22:52:00,2012-01-14,10:52 PM,31,12,46,NW,9,0,30.14,0.0,Partly Cloudy
2012-01-14 23:52:00,2012-01-14,11:52 PM,30,12,47,NNW,14,0,30.14,0.0,Mostly Cloudy
