DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2016-02-01 01:52:00,2016-02-01,1:52 AM,47,36,66,SSW,7,0,29.82,0.0,Mostly Cloudy
2016-02-01 02:52:00,2016-02-01,2:52 AM,50,39,66,SSW,12,0,29.82,0.0,Cloudy
2016-02-01 03:52:00,2016-02-01,3:52 AM,48,39,71,S,14,0,29.79,0.0,Cloudy
2016-02-01 04:52:00,2016-02-01,4:52 AM,46,39,76,S,12,0,29.80,0.0,Cloudy
2016-02-01 05:52:00,2016-02-01,5:52 AM,46,39,76,S,12,0,29.80,0.0,Mostly Cloudy
2016-02-01 06:52:00,2016-02-01,6:52 AM,46,40,79,S,13,0,29.81,0.0,Cloudy
2016-02-01 07:52:00,2016-02-01,7:52 AM,47,41,80,S,9,0,29.82,0.0,Mostly Cloudy
2016-02-01 08:52:00,2016-02-01,8:52 AM,47,41,80,S,9,0,29.84,0.0,Mostly Cloudy
2016-02-01 09:52:00,2016-02-01,9:52 AM,47,41,80,SSW,9,0,29.84,0.0,Mostly Cloudy
2016-02-01 10:52:00,2016-02-01,10:52 AM,52,44,74,S,8,0,29.85,0.0,Partly Cloudy
2016-02-01 11:52:00,2016-02-01,11:52 AM,54,45,72,CALM,0,0,29.86,0.0,Mostly Cloudy
2016-02-01 12:52:00,2016-02-01,12:52 PM,59,45,60,WNW,8,0,29.87,0.0,Mostly Cloudy
2016-02-01 13:52:00,2016-02-01,1:52 PM,60,46,60,NNW,7,0,29.85,0.0,Cloudy
2016-02-01 14:52:00,2016-02-01,2:52 PM,58,41,53,NNW,16,0,29.86,0.0,Cloudy
2016-02-01 15:52:00,2016-02-01,3:52 PM,53,43,69,NW,16,0,29.90,0.0,Light Rain
2016-02-01 16:52:00,2016-02-01,4:52 PM,49,44,83,NNW,8,0,29.91,0.1,Light Rain
2016-02-01 17:46:00,2016-02-01,5:46 PM,46,45,93,N,5,0,29.92,0.0,Cloudy
2016-02-01 17:52:00,2016-02-01,5:52 PM,47,45,93,N,7,0,29.93,0.0,Cloudy
2016-02-01 18:31:00,2016-02-01,6:31 PM,46,44,93,N,6,0,29.94,0.0,Light Rain
2016-02-01 18:52:00,2016-02-01,6:52 PM,48,44,86,NNW,6,0,29.96,0.0,Cloudy
2016-02-01 18:57:00,2016-02-01,6:57 PM,49,44,83,NNW,8,0,29.96,0.0,Light Rain
2016-02-01 19:52:00,2016-02-01,7:52 PM,46,44,93,N,3,0,29.99,0.0,Cloudy
2016-02-01 20:52:00,2016-02-01,8:52 PM,48,44,86,N,7,0,30.00,0.0,Cloudy
2016-02-01 21:52:00,2016-02-01,9:52 PM,47,43,86,N,7,0,30.03,0.0,Cloudy
2016-02-01 22:52:00,2016-02-01,10:52 PM,44,42,93,N,6,0,30.04,0.0,Cloudy
2016-02-01 23:52:00,2016-02-01,11:52 PM,47,41,80,NNW,9,0,30.06,0.0,Cloudy
2016-02-01 00:52:00,2016-02-01,12:52 AM,45,40,82,NNW,9,0,30.07,0.0,Mostly Cloudy
