DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-06-30 00:52:00,2017-06-30,12:52 AM,78,63,60,S,14,0,30.04,0.0,Fair
2017-06-30 01:52:00,2017-06-30,1:52 AM,77,63,62,S,12,0,30.05,0.0,Partly Cloudy
2017-06-30 02:52:00,2017-06-30,2:52 AM,76,62,62,S,12,0,30.03,0.0,Fair
2017-06-30 03:52:00,2017-06-30,3:52 AM,75,63,66,S,13,0,30.03,0.0,Partly Cloudy
2017-06-30 04:52:00,2017-06-30,4:52 AM,74,62,66,S,12,0,30.02,0.0,Fair
2017-06-30 05:52:00,2017-06-30,5:52 AM,73,62,68,S,13,0,30.03,0.0,Partly Cloudy
2017-06-30 06:52:00,2017-06-30,6:52 AM,73,62,68,S,8,0,30.03,0.0,Partly Cloudy
2017-06-30 07:52:00,2017-06-30,7:52 AM,76,63,64,SSW,10,0,30.04,0.0,Partly Cloudy
2017-06-30 08:52:00,2017-06-30,8:52 AM,78,64,62,SSW,10,0,30.04,0.0,Mostly Cloudy
2017-06-30 09:52:00,2017-06-30,9:52 AM,79,66,64,S,10,0,30.05,0.0,Mostly Cloudy
2017-06-30 10:52:00,2017-06-30,10:52 AM,83,67,58,S,10,0,30.03,0.0,Partly Cloudy
2017-06-30 11:52:00,2017-06-30,11:52 AM,87,67,51,SSW,13,0,30.03,0.0,Partly Cloudy
2017-06-30 12:52:00,2017-06-30,12:52 PM,89,68,50,SSW,13,21,30.01,0.0,Partly Cloudy
2017-06-30 13:52:00,2017-06-30,1:52 PM,92,67,44,S,17,24,29.97,0.0,Fair
2017-06-30 14:52:00,2017-06-30,2:52 PM,94,66,40,S,20,25,29.95,0.0,Partly Cloudy
2017-06-30 15:52:00,2017-06-30,3:52 PM,91,65,42,SSW,17,24,29.94,0.0,Cloudy
2017-06-30 16:52:00,2017-06-30,4:52 PM,90,66,45,SSW,22,28,29.94,0.0,Cloudy / Windy
2017-06-30 17:52:00,2017-06-30,5:52 PM,90,68,48,S,17,31,29.92,0.0,Cloudy
2017-06-30 18:52:00,2017-06-30,6:52 PM,89,69,52,SSW,18,24,29.93,0.0,Cloudy
2017-06-30 19:52:00,2017-06-30,7:52 PM,85,71,63,S,9,0,29.95,0.0,Partly Cloudy
2017-06-30 20:52:00,2017-06-30,8:52 PM,85,70,61,SSW,13,0,29.96,0.0,Mostly Cloudy
2017-06-30 21:52:00,2017-06-30,9:52 PM,84,69,61,SW,13,0,29.98,0.0,Mostly Cloudy
2017-06-30 22:52:00,2017-06-30,10:52 PM,82,70,67,SSW,12,0,29.98,0.0,Cloudy
2017-06-30 23:52:00,2017-06-30,11:52 PM,81,71,72,S,10,0,29.97,0.0,Cloudy
